iter,trained_ep,eval_ep,loss,baseline,delta_pct,added_at_iter,age_iters
26,53,106,0.057989,0.235061,-75.330346,15,11
26,53,269,0.053850,0.204388,-73.653254,16,10
26,53,164,0.039871,0.285251,-86.022495,17,9
26,53,51,0.054692,0.187272,-70.795585,18,8
26,53,308,0.033691,0.209464,-83.915688,19,7
26,53,167,0.042785,0.174749,-75.516274,20,6
26,53,303,0.035189,0.215074,-83.638494,21,5
26,53,270,0.056986,0.179518,-68.256357,22,4
26,53,119,0.054113,0.201180,-73.102019,23,3
26,53,13,0.086469,0.162966,-46.940481,24,2
26,53,123,0.036095,0.165192,-78.149907,25,1
26,53,53,0.030984,0.185485,-83.295953,26,0
26,53,forget,0.032049,0.020152,59.038857,0,-1
27,281,247,0.067352,0.324057,-79.215870,1,26
27,281,76,0.074934,0.297374,-74.801365,2,25
27,281,174,0.052679,0.255243,-79.361358,3,24
27,281,235,0.036181,0.251608,-85.619991,4,23
27,281,245,0.068951,0.246055,-71.977291,5,22
27,281,27,0.069430,0.265995,-73.898114,6,21
27,281,141,0.053094,0.244327,-78.269483,7,20
27,281,147,0.087681,0.198697,-55.872111,8,19
27,281,276,0.052061,0.206509,-74.790118,9,18
27,281,309,0.039589,0.184420,-78.533349,10,17
27,281,177,0.054039,0.289985,-81.365064,11,16
27,281,209,0.075708,0.309657,-75.550962,12,15
27,281,149,0.052546,0.222820,-76.417753,13,14
27,281,122,0.087470,0.208075,-57.962369,14,13
27,281,106,0.057425,0.235061,-75.570373,15,12
27,281,269,0.047897,0.204388,-76.565698,16,11
27,281,164,0.040814,0.285251,-85.691966,17,10
27,281,51,0.044881,0.187272,-76.034348,18,9
27,281,308,0.035883,0.209464,-82.869311,19,8
27,281,167,0.047113,0.174749,-73.039502,20,7
27,281,303,0.035598,0.215074,-83.448381,21,6
27,281,270,0.060555,0.179518,-66.267910,22,5
27,281,119,0.054850,0.201180,-72.735987,23,4
27,281,13,0.047674,0.162966,-70.745900,24,3
27,281,123,0.027816,0.165192,-83.161224,25,2
27,281,53,0.063046,0.185485,-66.010402,26,1
27,281,281,0.039359,0.193876,-79.698765,27,0
27,281,forget,0.029153,0.020152,44.666597,0,-1
28,31,247,0.061764,0.324057,-80.940454,1,27
28,31,76,0.079751,0.297374,-73.181662,2,26
28,31,174,0.050328,0.255243,-80.282515,3,25
28,31,235,0.037188,0.251608,-85.219865,4,24
28,31,245,0.068185,0.246055,-72.288890,5,23
28,31,27,0.068702,0.265995,-74.171656,6,22
28,31,141,0.072706,0.244327,-70.242226,7,21
28,31,147,0.087490,0.198697,-55.968009,8,20
28,31,276,0.066474,0.206509,-67.810472,9,19
28,31,309,0.047317,0.184420,-74.343043,10,18
28,31,177,0.042923,0.289985,-85.198163,11,17
28,31,209,0.050259,0.309657,-83.769557,12,16
28,31,149,0.061780,0.222820,-72.273533,13,15
28,31,122,0.076294,0.208075,-63.333245,14,14
28,31,106,0.072815,0.235061,-69.023106,15,13
28,31,269,0.051333,0.204388,-74.884318,16,12
28,31,164,0.054652,0.285251,-80.840674,17,11
28,31,51,0.068966,0.187272,-63.173243,18,10
28,31,308,0.046840,0.209464,-77.638111,19,9
28,31,167,0.061764,0.174749,-64.655719,20,8
28,31,303,0.055282,0.215074,-74.296183,21,7
28,31,270,0.048235,0.179518,-73.131059,22,6
28,31,119,0.046913,0.201180,-76.680859,23,5
28,31,13,0.053286,0.162966,-67.302518,24,4
28,31,123,0.029976,0.165192,-81.853854,25,3
28,31,53,0.084170,0.185485,-54.621968,26,2
28,31,281,0.044055,0.193876,-77.276408,27,1
28,31,31,0.014284,0.167776,-91.486018,28,0
28,31,forget,0.032828,0.020152,62.905626,0,-1
29,91,247,0.090858,0.324057,-71.962290,1,28
29,91,76,0.077808,0.297374,-73.834896,2,27
29,91,174,0.048347,0.255243,-81.058349,3,26
29,91,235,0.036184,0.251608,-85.618807,4,25
29,91,245,0.065196,0.246055,-73.503622,5,24
29,91,27,0.081941,0.265995,-69.194403,6,23
29,91,141,0.054291,0.244327,-77.779550,7,22
29,91,147,0.071183,0.198697,-64.174993,8,21
29,91,276,0.056242,0.206509,-72.765618,9,20
29,91,309,0.044937,0.184420,-75.633420,10,19
29,91,177,0.076321,0.289985,-73.680941,11,18
29,91,209,0.050297,0.309657,-83.757295,12,17
29,91,149,0.062986,0.222820,-71.732359,13,16
29,91,122,0.065215,0.208075,-68.657752,14,15
29,91,106,0.069921,0.235061,-70.254169,15,14
29,91,269,0.051390,0.204388,-74.856556,16,13
29,91,164,0.058908,0.285251,-79.348597,17,12
29,91,51,0.061825,0.187272,-66.986521,18,11
29,91,308,0.043552,0.209464,-79.207972,19,10
29,91,167,0.045034,0.174749,-74.229157,20,9
29,91,303,0.047710,0.215074,-77.816948,21,8
29,91,270,0.055082,0.179518,-69.316790,22,7
29,91,119,0.056281,0.201180,-72.024470,23,6
29,91,13,0.046504,0.162966,-71.463755,24,5
29,91,123,0.032402,0.165192,-80.385458,25,4
29,91,53,0.066110,0.185485,-64.358376,26,3
29,91,281,0.065746,0.193876,-66.088678,27,2
29,91,31,0.039250,0.167776,-76.605916,28,1
29,91,91,0.030891,0.167332,-81.539216,29,0
29,91,forget,0.029511,0.020152,46.447202,0,-1
30,30,247,0.071561,0.324057,-77.916997,1,29
30,30,76,0.088774,0.297374,-70.147433,2,28
30,30,174,0.070086,0.255243,-72.541624,3,27
30,30,235,0.037498,0.251608,-85.096718,4,26
30,30,245,0.079249,0.246055,-67.792180,5,25
